id,group,age_demographic_tag,theme,gift_idea,why_unique,price_band,price_range
1,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,My First Science Kit with 50+ experiments,Turns the kitchen table into a lab; screen-free curiosity for ages 6+.,B,"Rs 500-1,500"
2,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,DIY working volcano + chemistry reactions set,The classic eruption plus safe acid-base reactions kids can repeat.,A,Rs 0-500
3,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Glow-in-the-dark science lab kit,Experiments that light up in the dark make the 'why' unforgettable.,B,"Rs 500-1,500"
4,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Crystal-growing kit,A week-long project that teaches patience and pays off with real crystals.,A,Rs 0-500
5,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Human body 3D model build kit,"Snap organs into place to learn anatomy by doing, not memorising.",B,"Rs 500-1,500"
6,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Solar system 3D working model,Build the planets and see orbits move; astronomy that sticks.,B,"Rs 500-1,500"
7,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Microscope starter kit with prepared slides,"Opens the hidden world of pond water, onion skin and insect wings.",C,"Rs 1,500-5,000"
8,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Weather station build kit,"Kids track rain, wind and temperature like a real meteorologist.",B,"Rs 500-1,500"
9,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Electric circuit 'snap' kit,"Wire a fan, buzzer and lamp with no soldering, no fear.",B,"Rs 500-1,500"
10,"Boys, 0-12","Curious, hands-on, growing fast",STEM & Science,Volcano-to-dinosaur fossil dig kit,"Chisel out real fossils; part science, part treasure hunt.",A,Rs 0-500
11,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,DIY mini wooden cottage model,A buildable keepsake that decorates the room after it's done.,B,"Rs 500-1,500"
12,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Magnetic tile building set,Open-ended magnetic shapes that never get 'finished' being played with.,C,"Rs 1,500-5,000"
13,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Marble run construction city,Engineering disguised as pure fun; rebuildable a hundred ways.,B,"Rs 500-1,500"
14,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Hydraulic arm / crane build kit,Water-powered mechanics teach force without a single battery.,B,"Rs 500-1,500"
15,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Motorised robotic mechanical hand,Build a gripping robot hand that actually grabs objects.,C,"Rs 1,500-5,000"
16,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Wooden 3D mechanical clock kit,"A ticking, working clock they assembled themselves.",B,"Rs 500-1,500"
17,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Nuts-and-bolts toolkit play set,Real fine-motor practice with kid-safe drill and screws.,A,Rs 0-500
18,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Bridge & structures engineering kit,Test which designs hold weight; failure is the lesson.,B,"Rs 500-1,500"
19,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Interlocking brick architecture set,Landmark builds that reward focus and following steps.,C,"Rs 1,500-5,000"
20,"Boys, 0-12","Curious, hands-on, growing fast",Building & Construction,Pinball machine DIY build,"They build the arcade, then play the arcade they built.",C,"Rs 1,500-5,000"
21,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Screen-free coding robot for early coders,"Kids sequence commands with cards, learning logic before screens.",C,"Rs 1,500-5,000"
22,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Line-following robot kit,"Build a bot that follows a track; instant, visible payoff.",C,"Rs 1,500-5,000"
23,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,App-controlled programmable rover,Grows with the child from drag-drop blocks to real code.,D,"Rs 5,000+"
24,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Solar robot 14-in-1 kit,"One kit, fourteen sun-powered robots, zero batteries.",B,"Rs 500-1,500"
25,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Beginner electronics 'invent' mega kit,120+ projects that demystify how gadgets actually work.,B,"Rs 500-1,500"
26,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Coding board game (unplugged),Teaches loops and conditionals around the dining table.,B,"Rs 500-1,500"
27,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Build-your-own walking robot,Motorised legs and gears turn theory into a stomping bot.,C,"Rs 1,500-5,000"
28,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Micro:bit starter project pack,A real programmable board for the genuinely curious kid.,C,"Rs 1,500-5,000"
29,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Draw-and-drive robot (drawing bot),A wobbly robot that makes art; cause-and-effect made joyful.,B,"Rs 500-1,500"
30,"Boys, 0-12","Curious, hands-on, growing fast",Robotics & Coding,Remote-control DIY tank build kit,Assembly plus RC control; patience rewarded with a drivable machine.,C,"Rs 1,500-5,000"
31,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Clay pottery wheel kit for kids,Battery-spun wheel to throw real pots; wonderfully messy.,B,"Rs 500-1,500"
32,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,3D pen for kids (low-heat),Draw sculptures in the air; imagination becomes physical.,C,"Rs 1,500-5,000"
33,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Comic-book creator kit with panels & stamps,Gives storytellers a structure to publish their own comics.,A,Rs 0-500
34,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Spin-art machine,Every spin is a new masterpiece; process over perfection.,B,"Rs 500-1,500"
35,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Stop-motion animation studio kit,Phone + kit = their own short films; huge creative range.,C,"Rs 1,500-5,000"
36,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,Sand art & terrarium bottle kit,Layered sand keepsakes that double as room décor.,A,Rs 0-500
37,"Boys, 0-12","Curious, hands-on, growing fast",Art & Making,DIY kite-making and flying kit,"Craft it indoors, fly it outdoors; two hobbies in one.",A,Rs 0-500
